source,output,grammer,fluency,meaning,system,ave_g,ave_f,ave_m
"If the individual or family is to pay the bill, they can be bankrupted because of illness.","If an individual or family is to pay the bill, they can be bankrupt because of illness.","3,4,4,4,3","3,4,4,4,3","3,4,4,4,3",lstm,3.6,3.6,3.6
"After finding and analyzing the black box of the Valujet after the incidence, police investigators found out reasons for causing this severe incidence.","After finding and analyzing the black box of Valujet after the incidence, police investigators found out reasons for causing this severe incidence.","3,4,4,3,3","3,4,4,2,3","3,4,4,4,3",smt,3.4,3.2,3.6
It has shown that we are leading a better life but we are forced to face the problem of solving population aging.,It has shown that we are leading a better life but we are forced to face the problem of solving population aging.,"2,4,4,4,3","3,4,4,4,3","3,4,4,4,3","lstm,copy-net,cnn",3.4,3.6,3.6
Long life span for the individual himself is a great achievement which indicates he or she is brave enough to face the life full of problems.,Long life span for the individual himself is a great achievement which indicates he or she is brave enough to face life problems.,"3,4,4,3,3","3,4,4,3,3","3,4,4,3,3",transformer,3.4,3.4,3.4
"For developed countries, the challenge they face mainly are the over crowded modern cities usually face the public transportation problem and also the unevenly distributed wealth which result in that some of the population unable to benefit from the development of the human society in terms of technology which improve the life quality.","For developed countries, the challenge they face mainly are the over crowded modern cities usually face the public transportation problem and also the unevenly distributed wealth which result in that some of the population unable to benefit from the development of the human society in terms of technology which improves life quality.","3,4,3,2,3","4,4,3,2,3","3,4,4,4,4",cnn,3.0,3.2,3.8
"On the condition that the kindergarten students are very young and they do not have a very sound self-conscious, this system can prevent them from lost.","In the condition that the kindergarten students are very young and they do not have very sound self-conscious, this system can prevent them from getting lost.","3,4,3,3,3","4,4,3,2,3","3,3,4,4,3",lstm,3.2,3.2,3.4
"Once such chip is loaded with personal information and implants in individuals, all the information about his or her life can be recorded.","Once such a chip is loaded with personal information and implants in individuals, all the information about his or her life can be recorded.","3,4,4,3,3","3,4,4,2,3","3,4,4,4,4","lstm,transformer,cnn",3.4,3.2,3.8
"Based on the identifiable environment, a lot of convention way or style of human life can be changed.","Based on the identifiable environment, a lot of convention way or style of human life can be changed.","2,3,3,3,3","3,3,3,2,3","3,4,4,4,4","smt,lstm,cnn",2.8,2.8,3.8
"Therefore, because of the great efforts we have made, we have been living a better life.","Therefore, because of the great efforts we have made, we have been living a better life.","3,4,4,4,3","3,4,4,4,3","3,4,4,4,4","smt,lstm,copy-net,transformer,cnn",3.6,3.6,3.8
"In the old times, people could easily lose their life due to hunger, disease, government, war or something else.","In the old times, people could easily lose their life due to hunger, disease, government, war or something else.","4,4,4,4,3","4,4,4,4,3","4,4,4,4,4",lstm,3.8,3.8,4.0
This can protect the students from being in a dangerous situation in particularly for the small children who are studying in nursery.,"This can protect the students from being in a dangerous situation, particularly for the small children who are studying in nursery.","3,4,4,3,4","4,4,4,3,4","3,4,4,3,2","smt,copy-net",3.6,3.8,3.2
"For example, the Internet has abridged the distance among people globally.","For example, the Internet has abridged the distance among people globally.","2,4,4,3,4","3,3,4,3,4","4,4,4,4,4","smt,lstm,copy-net,cnn",3.4,3.4,4.0
"It can provide a safe, convenient, identifiable environment.","It can provide a safe, convenient, identifiable environment.","4,4,4,4,4","3,4,4,4,4","4,4,4,4,4","smt,copy-net",4.0,3.8,4.0
"The rising of life expectancies is not only an achievement, but also a great challenge.","The rising life expectancies is not only an achievement, but also a great challenge.","3,4,3,3,3","3,4,4,3,3","3,4,4,3,3",smt,3.2,3.4,3.4
"Due to the small size of the equipment and the energy-saving feature, it becomes more and more popular in industries and logistics.","Due to the small size of the equipment and the energy-saving feature, it has become more and more popular in industries and logistics.","4,4,4,4,3","4,4,4,4,3","3,4,4,3,3",copy-net,3.8,3.8,3.4
"For example, they may wait in the public area and wait for parents to bring their children out but didn't pay attention to the child, so that this kind of agency may bring the child to mountain area and sell him or her with a good price.","For example, they may wait in the public area and wait for parents to bring their children out but didn't pay attention to the child, so that this kind of agency may bring the child to a mountain area and sell him or her with a good price.","1,3,3,2,2","2,2,4,3,2","0,4,4,4,3",cnn,2.2,2.6,3.75
The rest of their life has to be relied on their family and the financial support from the others.,The rest of their life has to be relied on by their family and financial support from others.,"3,3,3,3,4","4,2,4,3,4","3,4,4,4,3",cnn,3.2,3.4,3.6
"Still the possible downfall of these surveillance technologies is too present in my paranoid mind and they clearly overweight the benefits, in my opinion.","Still, the possible downfall of these surveillance technologies is too present in my paranoid mind and they clearly outweigh the benefits, in my opinion.","2,3,4,3,4","4,2,4,3,4","3,4,4,3,3",lstm,3.2,3.4,3.4
"In a nut shell, rising life expectancies can be considered both an achievement and a challenge.","In a nutshell, rising life expectancies can be considered both an achievement and a challenge.","4,4,4,4,4","4,4,4,4,4","4,4,4,3,3",smt,4.0,4.0,3.6
"On the other hand, the rising life expectancy can also be an indication, though not entirely, of a country's reputation to their citizens.","On the other hand, the rising life expectancy can also be an indication, though not entirely, of a country's reputation to their citizens.","4,4,4,3,3","3,3,4,3,3","4,4,4,4,4","smt,lstm,copy-net,cnn",3.6,3.2,4.0
"Although the initial function of implementation of RFID is good for the children, however children also have the human rights and privacy which is endanger under this technology.","Although the initial function of implementation of RFID is good for the children, children also have human rights and privacy which is endanger under this technology.","3,3,3,3,2","3,3,3,3,1","3,4,4,4,2",cnn,2.8,2.6,3.4
"In the other words, it also can be said that it is an achievement to obtain an ageing population.","In other words, it can also be said that it is an achievement to obtain an ageing population.","3,4,4,4,3","3,4,4,4,3","3,4,4,3,4","lstm,transformer",3.6,3.6,3.6
"On the other hand, there are not sufficient materials or ways to improve people's daily life.","On the other hand, there are not enough materials or ways to improve peoples's daily life.","3,3,4,3,4","3,3,4,4,4","3,4,4,3,3",smt,3.4,3.6,3.4
"As you can see, there are quite a lot of advantages of using the surveillance technology to track people.","As you can see, there are quite a lot of advantages of using surveillance technology to track people.","3,4,4,3,4","3,4,4,3,3","3,4,4,4,3",smt,3.6,3.4,3.6
"That is to say, the population aging has aggravated the burden of the society.","That is to say, the population aging has aggravated the burden of society.","3,4,4,4,4","3,2,4,3,4","4,4,4,3,3","smt,lstm,transformer,cnn",3.8,3.2,3.6
By logic it seems perfectly right.,"By logic, it seems perfectly right.","4,4,4,4,4","3,4,4,4,4","4,4,4,3,3","copy-net,transformer",4.0,3.8,3.6
"To conclude, the population ageing phenomenon indeed shows our big achievement on economy, medical skills and living standard.","To conclude, the population ageing phenomenon indeed shows our big achievement on the economy, medical skills and living standard.","2,3,4,3,3","2,3,4,3,3","3,4,4,4,3",cnn,3.0,3.0,3.6
The fast development of medicine and technological product makes people's life much healthier compare to the past.,The fast development of medicine and technological product makes people's life much healthier compared to the past.,"3,4,3,3,4","3,3,4,3,4","4,4,4,3,2","lstm,cnn",3.4,3.4,3.4
"There has been a report estimated that at the year 2060, only half of the population in Japan are suitable to work.","There has been a report estimated that at the year 2060, only half of the population in Japan are suitable for work.","2,3,4,3,3","3,2,4,3,3","3,4,4,3,4",transformer,3.0,3.0,3.6
